010, 010, 020, 020, 020, 020, 010, 020, 010, 030, 020, 010, 030, 040, 020, 010, 010, 010, 010, 020
300, 000, 000, 020, 000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 030, 000, 000, 000, 000, 020
000, 000, 000, 020, 000, 000, 000, 020, 000, 000, 000, 000, 000, 300, 030, 000, 000, 000, 000, 020
300, 000, 000, 020, 000, 000, 000, 030, 000, 000, 000, 000, 000, 300, 030, 000, 000, 000, 000, 020
020, 000, 000, 020, 000, 000, 000, 025, 000, 000, 000, 000, 000, 000, 030, 300, 000, 000, 000, 020
050, 005, 020, 010, 050, 010, 060, 030, 025, 020, 040, 040, 020, 050, 030, 300, 000, 000, 000, 020
000, 000, 000, 085, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 040, 200, 000, 000, 000, 010
000, 000, 000, 090, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 050, 200, 000, 000, 000, 010
000, 000, 000, 095, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 075, 200, 000, 000, 000, 010
200, 200, 300, 100, 000, 300, 300, 200, 000, 200, 200, 000, 000, 000, 080, 300, 000, 000, 000, 010
030, 040, 030, 040, 020, 030, 030, 030, 005, 010, 040, 030, 030, 010, 095, 300, 000, 000, 000, 050
000, 000, 000, 050, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 100, 000, 000, 000, 000, 050
000, 000, 000, 030, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 095, 000, 000, 000, 000, 030
000, 000, 000, 030, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 090, 020, 040, 010, 040, 050
001, 020, 030, 020, 040, 070, 050, 030, 030, 050, 020, 020, 070, 075, 085, 000, 000, 000, 000, 000
000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 080, 000, 000, 000, 000, 000
000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 030, 030, 030, 300, 000, 000
000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 020, 000, 000, 000, 000, 000
000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000, 000, 000, 000, 070, 300, 000, 000, 000, 000
020, 020, 010, 001, 005, 010, 030, 010, 010, 010, 010, 010, 020, 010, 010, 010, 010, 010, 050, 002
