000, 200, 020, 200, 000, 000, 000, 010, 000, 000, 000, 000, 030, 000, 000, 000, 000, 000, 000, 000
000, 200, 020, 300, 000, 000, 000, 020, 000, 000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000
000, 200, 010, 300, 000, 000, 000, 020, 000, 000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000
000, 200, 010, 200, 000, 000, 000, 030, 000, 000, 000, 000, 010, 000, 000, 000, 000, 000, 000, 000
000, 000, 010, 000, 000, 000, 000, 025, 000, 000, 000, 000, 010, 000, 000, 000, 000, 000, 000, 000
000, 000, 020, 000, 000, 000, 000, 030, 000, 000, 000, 000, 010, 000, 300, 300, 300, 300, 000, 000
010, 020, 020, 080, 090, 090, 100, 030, 030, 020, 020, 010, 050, 090, 080, 070, 010, 010, 010, 010
000, 300, 030, 200, 000, 000, 000, 020, 000, 000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000
000, 300, 040, 300, 000, 000, 000, 020, 000, 000, 000, 000, 030, 000, 000, 000, 000, 000, 000, 000
000, 200, 040, 200, 000, 000, 000, 020, 000, 000, 000, 000, 030, 000, 000, 000, 000, 000, 000, 000
000, 200, 030, 300, 000, 000, 000, 030, 000, 000, 000, 000, 030, 000, 000, 000, 000, 000, 000, 000
000, 200, 020, 200, 000, 000, 000, 040, 000, 000, 000, 000, 040, 000, 000, 000, 000, 000, 000, 000
010, 020, 020, 030, 030, 030, 030, 040, 050, 070, 080, 100, 080, 070, 030, 030, 020, 010, 010, 010
000, 200, 020, 300, 000, 000, 000, 030, 000, 000, 000, 000, 030, 000, 000, 000, 000, 010, 000, 000
000, 200, 030, 300, 000, 000, 000, 030, 000, 000, 000, 000, 030, 000, 000, 000, 200, 020, 200, 000
000, 000, 030, 000, 000, 000, 000, 020, 000, 000, 000, 000, 030, 000, 000, 000, 000, 000, 000, 000
000, 000, 030, 000, 000, 000, 000, 020, 000, 000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000
000, 000, 040, 000, 000, 000, 000, 020, 000, 000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000
000, 000, 040, 000, 000, 000, 000, 010, 000, 000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000
000, 000, 050, 000, 000, 000, 000, 010, 000, 000, 000, 000, 020, 000, 000, 000, 000, 000, 000, 000
